Freq.	                 V(out)                    Fase                     BOOOOOODDDDEEEEEEEEE!!!!!!!!!!!!!!!!!!!!!
2.95120922666636e+03	(-3.44345222716438e+01dB,7.51670085748990e+01°)
3.01995172040199e+03	(-3.46449228501087e+01dB,7.48328787798702e+01°)
3.09029543251357e+03	(-3.48557708933667e+01dB,7.44921236472405e+01°)
3.16227766016836e+03	(-3.50670836699882e+01dB,7.41446551214488e+01°)
3.23593656929626e+03	(-3.52788789361339e+01dB,7.37903872419533e+01°)
3.31131121482589e+03	(-3.54911749326178e+01dB,7.34292363982654e+01°)
3.38844156139200e+03	(-3.57039903800418e+01dB,7.30611215973073e+01°)
3.46736850452529e+03	(-3.59173444718204e+01dB,7.26859647430900e+01°)
3.54813389233573e+03	(-3.61312568649103e+01dB,7.23036909286343e+01°)
3.63078054770099e+03	(-3.63457476680486e+01dB,7.19142287399800e+01°)
3.71535229097170e+03	(-3.65608374272989e+01dB,7.15175105720388e+01°)
3.80189396320558e+03	(-3.67765471086974e+01dB,7.11134729559493e+01°)
3.89045144994278e+03	(-3.69928980777845e+01dB,7.07020568974895e+01°)
3.98107170553494e+03	(-3.72099120758078e+01dB,7.02832082259865e+01°)
4.07380277804110e+03	(-3.74276111923726e+01dB,6.98568779530399e+01°)
4.16869383470332e+03	(-3.76460178343223e+01dB,6.94230226402482e+01°)
4.26579518801589e+03	(-3.78651546906254e+01dB,6.89816047749850e+01°)
4.36515832240162e+03	(-3.80850446930513e+01dB,6.85325931531284e+01°)
4.46683592150960e+03	(-3.83057109724206e+01dB,6.80759632674936e+01°)
4.57088189614871e+03	(-3.85271768102233e+01dB,6.76116977005598e+01°)
4.67735141287194e+03	(-3.87494655854057e+01dB,6.71397865199213e+01°)
4.78630092322634e+03	(-3.89726007161425e+01dB,6.66602276747242e+01°)
4.89778819368442e+03	(-3.91966055964222e+01dB,6.61730273911850e+01°)
5.01187233627268e+03	(-3.94215035272949e+01dB,6.56782005651182e+01°)
5.12861383991361e+03	(-3.96473176426542e+01dB,6.51757711492360e+01°)
5.24807460249768e+03	(-3.98740708294475e+01dB,6.46657725328216e+01°)
5.37031796370248e+03	(-4.01017856422415e+01dB,6.41482479112271e+01°)
5.49540873857620e+03	(-4.03304842121014e+01dB,6.36232506425004e+01°)
5.62341325190344e+03	(-4.05601881497781e+01dB,6.30908445883192e+01°)
5.75439937337152e+03	(-4.07909184432407e+01dB,6.25511044362944e+01°)
5.88843655355584e+03	(-4.10226953496333e+01dB,6.20041160006105e+01°)
6.02559586074353e+03	(-4.12555382817851e+01dB,6.14499764979014e+01°)
6.16595001861477e+03	(-4.14894656894514e+01dB,6.08887947952113e+01°)
6.30957344480188e+03	(-4.17244949355190e+01dB,6.03206916268770e+01°)
6.45654229034650e+03	(-4.19606421674653e+01dB,5.97457997771823e+01°)
6.60693448007590e+03	(-4.21979221844185e+01dB,5.91642642256871e+01°)
6.76082975391976e+03	(-4.24363483002260e+01dB,5.85762422522234e+01°)
6.91830970918931e+03	(-4.26759322030022e+01dB,5.79819034986803e+01°)
7.07945784384132e+03	(-4.29166838116818e+01dB,5.73814299848685e+01°)
7.24435960074984e+03	(-4.31586111301724e+01dB,5.67750160759730e+01°)
7.41310241300911e+03	(-4.34017200997542e+01dB,5.61628683993546e+01°)
7.58577575029177e+03	(-4.36460144504335e+01dB,5.55452057087658e+01°)
7.76247116628685e+03	(-4.38914955520099e+01dB,5.49222586943833e+01°)
7.94328234724275e+03	(-4.41381622656675e+01dB,5.42942697374440e+01°)
8.12830516164092e+03	(-4.43860107969435e+01dB,5.36614926086880e+01°)
8.31763771102664e+03	(-4.46350345509685e+01dB,5.30241921102617e+01°)
8.51138038202369e+03	(-4.48852239909023e+01dB,5.23826436612151e+01°)
8.70963589956073e+03	(-4.51365665005166e+01dB,5.17371328272274e+01°)
8.91250938133738e+03	(-4.53890462518912e+01dB,5.10879547957116e+01°)
9.12010839355902e+03	(-4.56426440791981e+01dB,5.04354137979792e+01°)
9.33254300796983e+03	(-4.58973373595484e+01dB,4.97798224806690e+01°)
9.54992586021428e+03	(-4.61530999018672e+01dB,4.91215012291699e+01°)
9.77237220955802e+03	(-4.64099018447397e+01dB,4.84607774462713e+01°)
9.99999999999991e+03	(-4.66677095641475e+01dB,4.77979847897596e+01°)
1.02329299228075e+04	(-4.69264855919732e+01dB,4.71334623731285e+01°)
1.04712854805089e+04	(-4.71861885461068e+01dB,4.64675539339850e+01°)
1.07151930523760e+04	(-4.74467730729340e+01dB,4.58006069750951e+01°)
1.09647819614318e+04	(-4.77081898029235e+01dB,4.51329718833244e+01°)
1.12201845430195e+04	(-4.79703853199649e+01dB,4.44650010319809e+01°)
1.14815362149687e+04	(-4.82333021450330e+01dB,4.37970478722492e+01°)
1.17489755493952e+04	(-4.84968787346792e+01dB,4.31294660195286e+01°)
1.20226443461740e+04	(-4.87610494947671e+01dB,4.24626083405286e+01°)
1.23026877081237e+04	(-4.90257448097876e+01dB,4.17968260469555e+01°)
1.25892541179416e+04	(-4.92908910880023e+01dB,4.11324678015253e+01°)
1.28824955169312e+04	(-4.95564108225816e+01dB,4.04698788418732e+01°)
1.31825673855640e+04	(-4.98222226688156e+01dB,3.98094001277004e+01°)
1.34896288259164e+04	(-5.00882415373966e+01dB,3.91513675162032e+01°)
1.38038426460287e+04	(-5.03543787036895e+01dB,3.84961109704814e+01°)
1.41253754462274e+04	(-5.06205419328291e+01dB,3.78439538052248e+01°)
1.44543977074591e+04	(-5.08866356204088e+01dB,3.71952119735328e+01°)
1.47910838816819e+04	(-5.11525609484533e+01dB,3.65501933982471e+01°)
1.51356124843619e+04	(-5.14182160563032e+01dB,3.59091973506779e+01°)
1.54881661891247e+04	(-5.16834962259719e+01dB,3.52725138790818e+01°)
1.58489319246110e+04	(-5.19482940814770e+01dB,3.46404232887234e+01°)
1.62181009735891e+04	(-5.22124998015912e+01dB,3.40131956748258e+01°)
1.65958690743755e+04	(-5.24760013454011e+01dB,3.33910905091940e+01°)
1.69824365246173e+04	(-5.27386846900108e+01dB,3.27743562807921e+01°)
1.73780082874936e+04	(-5.30004340796758e+01dB,3.21632301900746e+01°)
1.77827941003891e+04	(-5.32611322856010e+01dB,3.15579378964184e+01°)
1.81970085860997e+04	(-5.35206608755895e+01dB,3.09586933175844e+01°)
1.86208713666285e+04	(-5.37789004926758e+01dB,3.03656984797599e+01°)
1.90546071796323e+04	(-5.40357311418275e+01dB,2.97791434163913e+01°)
1.94984459975803e+04	(-5.42910324837519e+01dB,2.91992061137275e+01°)
1.99526231496886e+04	(-5.45446841347847e+01dB,2.86260525007455e+01°)
2.04173794466951e+04	(-5.47965659717945e+01dB,2.80598364809270e+01°)
2.08929613085402e+04	(-5.50465584409760e+01dB,2.75007000032033e+01°)
2.13796208950221e+04	(-5.52945428693559e+01dB,2.69487731692724e+01°)
2.18776162394953e+04	(-5.55404017777830e+01dB,2.64041743744274e+01°)
2.23872113856832e+04	(-5.57840191941216e+01dB,2.58670104790058e+01°)
2.29086765276775e+04	(-5.60252809653200e+01dB,2.53373770075825e+01°)
2.34422881531990e+04	(-5.62640750669817e+01dB,2.48153583730712e+01°)
2.39883291901947e+04	(-5.65002919090265e+01dB,2.43010281229715e+01°)
2.45470891568501e+04	(-5.67338246359973e+01dB,2.37944492051024e+01°)
2.51188643150956e+04	(-5.69645694205412e+01dB,2.32956742502784e+01°)
2.57039578276884e+04	(-5.71924257485812e+01dB,2.28047458695247e+01°)
2.63026799189536e+04	(-5.74172966946871e+01dB,2.23216969635783e+01°)
2.69153480392689e+04	(-5.76390891861641e+01dB,2.18465510425801e+01°)
2.75422870333814e+04	(-5.78577142543983e+01dB,2.13793225540255e+01°)
2.81838293126443e+04	(-5.80730872720339e+01dB,2.09200172172086e+01°)
2.88403150312658e+04	(-5.82851281746081e+01dB,2.04686323625543e+01°)
2.95120922666636e+04	(-5.84937616653376e+01dB,2.00251572743932e+01°)
3.01995172040199e+04	(-5.86989174018319e+01dB,1.95895735358798e+01°)
3.09029543251356e+04	(-5.89005301636089e+01dB,1.91618553749007e+01°)
3.16227766016835e+04	(-5.90985399994023e+01dB,1.87419700099417e+01°)
3.23593656929625e+04	(-5.92928923533790e+01dB,1.83298779950045e+01°)
3.31131121482588e+04	(-5.94835381695269e+01dB,1.79255335627655e+01°)
